activity_id,assay_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,standard_relation,published_value,published_units,published_relation,pchembl_value,activity_comment,data_validity_comment,confidence_score,ligand_efficiency,document_chembl_id,record_id,target_chembl_id,smiles,valid_smiles
13206420,CHEMBL2363735,CHEMBL521851,IC50,258456.14,nM,=,,,,,,Outside typical range,,,CHEMBL1201861,1878460,CHEMBL1075391,CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1,True
13206423,CHEMBL2363735,CHEMBL477989,IC50,234129.64,nM,=,,,,,,Outside typical range,,,CHEMBL1201861,1878375,CHEMBL1075391,CN(C)CCOc1ccc(-c2nc(-c3ccncc3)c(-c3ccc4c(c3)CC/C4=N\O)[nH]2)cc1,True
13206425,CHEMBL2363735,CHEMBL2165191,IC50,136287.69,nM,=,,,,,,Outside typical range,,,CHEMBL1201861,1878391,CHEMBL1075391,Cc1cc([C@@H](C)Nc2ccccc2C(=O)O)c2nc(N3CCOCC3)cc(=O)n2c1,True
13206426,CHEMBL2363735,CHEMBL255342,IC50,289868.39,nM,=,,,,,,Outside typical range,,,CHEMBL1201861,1878436,CHEMBL1075391,O=C1/C(=C/c2cccs2)CC/C1=C\c1cccs1,True
13206428,CHEMBL2363735,CHEMBL1090771,IC50,268453.85,nM,=,,,,,,Outside typical range,,,CHEMBL1201861,1878429,CHEMBL1075391,NC(=O)[C@@H](CCC(F)(F)F)N(Cc1ccc(-c2ncon2)cc1F)S(=O)(=O)c1ccc(Cl)cc1,True
13206432,CHEMBL2363735,CHEMBL399530,IC50,711033.82,nM,=,,,,,,Outside typical range,,,CHEMBL1201861,1878437,CHEMBL1075391,CCc1cc(-c2[nH]nc(C)c2-c2ccc3c(c2)OCCO3)c(O)cc1O,True
13206433,CHEMBL2363735,CHEMBL1173055,IC50,800177.04,nM,=,,,,,,Outside typical range,,,CHEMBL1201861,1878403,CHEMBL1075391,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1,True
2359320,CHEMBL975399,CHEMBL6,IC50,235000.0,nM,=,,,,,,Outside typical range,,,CHEMBL1140042,746976,CHEMBL5748,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,True
2359321,CHEMBL975399,CHEMBL6966,IC50,200000.0,nM,>,,,,,,Outside typical range,,,CHEMBL1140042,721845,CHEMBL5748,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,True
2359322,CHEMBL975399,CHEMBL452312,IC50,200000.0,nM,>,,,,,,Outside typical range,,,CHEMBL1140042,721842,CHEMBL5748,CCOC(=O)c1c(NC(=S)Nc2ccc(C(=O)O)cc2)sc2c1CCCC2,True
2392348,CHEMBL957853,CHEMBL488910,IC50,50000.0,nM,>,,,,,,,,,CHEMBL1140935,727919,CHEMBL5748,COc1ccc2c3c([nH]c2c1)[C@H](CC(C)C)N1C(=O)[C@H](CCC(=O)OC(C)(C)C)NC(=O)[C@@H]1C3,True
2392349,CHEMBL957853,CHEMBL495936,IC50,150.0,nM,<,,,,,,,,,CHEMBL1140935,728016,CHEMBL5748,CCCCC/C=C\C/C=C\C=C\C=C\[C@@H](SC[C@@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)[C@@H](O)CCCC(=O)O,True
2392350,CHEMBL957853,CHEMBL15177,IC50,1000.0,nM,>,,,,,,,,,CHEMBL1140935,728015,CHEMBL5748,CN(C)C(=O)CCSC(SCCC(=O)O)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,True
2392351,CHEMBL957853,CHEMBL500094,IC50,50000.0,nM,>,,,,,,,,,CHEMBL1140935,727932,CHEMBL5748,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccc(C)c(NC(=O)c4cnc5ccccc5c4)c3)cc1)CC2,True
2392352,CHEMBL957853,CHEMBL456361,IC50,20000.0,nM,>,,,,,,,,,CHEMBL1140935,727928,CHEMBL5748,COC(=O)c1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1cccnc1,True
2392353,CHEMBL957853,CHEMBL501349,IC50,50000.0,nM,>,,,,,,,,,CHEMBL1140935,727927,CHEMBL5748,COC(=O)c1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1cnccn1,True
2392354,CHEMBL957853,CHEMBL457439,IC50,20000.0,nM,>,,,,,,,,,CHEMBL1140935,727926,CHEMBL5748,COC(=O)c1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1cnc(C)cn1,True
2392355,CHEMBL957853,CHEMBL455275,IC50,,,,,,,,Not Determined,,,,CHEMBL1140935,727925,CHEMBL5748,COC(=O)c1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1ccc2ncccc2c1,True
2392356,CHEMBL957853,CHEMBL506278,IC50,,,,,,,,Not Determined,,,,CHEMBL1140935,727924,CHEMBL5748,COC(=O)c1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1cnc2ccccc2n1,True
2392357,CHEMBL957853,CHEMBL502503,IC50,20000.0,nM,>,,,,,,,,,CHEMBL1140935,727923,CHEMBL5748,COC(=O)c1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1ccc2ccccc2n1,True
2692695,CHEMBL1062296,CHEMBL90568,IC50,50000.0,nM,>,,,,,,,,,CHEMBL1152445,822725,CHEMBL5748,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1O,True
2692696,CHEMBL1062296,CHEMBL214321,IC50,50000.0,nM,>,,,,,,,,,CHEMBL1152445,822724,CHEMBL5748,COc1cc(-c2cc(=O)c3c(O)cc(O)cc3o2)ccc1O,True
11001076,CHEMBL2078137,CHEMBL1201391,IC50,,,,,,,,is not an inhibitor [IC50=-(>100uM)],,,,CHEMBL2073750,1672120,CHEMBL5748,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,True
11001077,CHEMBL2078137,CHEMBL1201373,IC50,,,,,,,,is not an inhibitor [IC50=-(>100uM)],,,,CHEMBL2073750,1672345,CHEMBL5748,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,True
11001078,CHEMBL2078137,CHEMBL1790017,IC50,,,,,,,,is not an inhibitor [IC50=-(>100uM)],,,,CHEMBL2073750,1671523,CHEMBL5748,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O.CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,True
11001079,CHEMBL2078137,CHEMBL1144,IC50,,,,,,,,is not an inhibitor [IC50=-(>100uM)],,,,CHEMBL2073750,1671014,CHEMBL5748,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,True
11001081,CHEMBL2078137,CHEMBL503,IC50,,,,,,,,is not an inhibitor [IC50=-(>33uM)],,,,CHEMBL2073750,1671763,CHEMBL5748,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,True
11001143,CHEMBL2075103,CHEMBL2074730,Ki,,,,,,,,is not an inhibitor [Ki=No inhibition],,,,CHEMBL2073914,1671047,CHEMBL5748,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cccc4c(=O)c5cccc(OC)c5[nH]c34)cc1)CC2.Cl,True
11001144,CHEMBL2075102,CHEMBL1294,Ki,,,,,,,,is not an inhibitor [Ki=No inhibition],,,,CHEMBL2073914,1671048,CHEMBL5748,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,True
11001145,CHEMBL2077638,CHEMBL6966,Ki,,,,,,,,is not an inhibitor [Ki=No inhibition],,,,CHEMBL2073914,1671220,CHEMBL5748,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,True
11002851,CHEMBL2078561,CHEMBL772,Ki,295000.0,nM,=,,,,,inhibitor [Ki=295uM],Outside typical range,,,CHEMBL2073914,1669175,CHEMBL5748,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,True
11003263,CHEMBL2078561,CHEMBL44657,Ki,756000.0,nM,=,,,,,inhibitor [Ki=756uM],Outside typical range,,,CHEMBL2073914,1669503,CHEMBL5748,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,True
