activity_id,assay_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,standard_relation,published_value,published_units,published_relation,pchembl_value,activity_comment,data_validity_comment,confidence_score,ligand_efficiency,document_chembl_id,record_id,target_chembl_id,smiles
11000503,CHEMBL2076226,CHEMBL160,IC50,7800.0,nM,=,,,,5.11,inhibitor [IC50 = 7.8 u M (Hill coefficient = 1.1)],,,,CHEMBL2074066,1671190,CHEMBL6020,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C
11000504,CHEMBL2076242,CHEMBL6966,IC50,79100.0,nM,=,,,,4.1,inhibitor [IC50 = 79.1 u M (Hill coefficient = 2.7)],,,,CHEMBL2074066,1671181,CHEMBL6020,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC
11002383,CHEMBL2077352,CHEMBL411070,Ki,11000.0,nM,=,,,,4.96,inhibitor [Ki=11uM],,,,CHEMBL2073959,1672965,CHEMBL6020,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C
11002828,CHEMBL2075453,CHEMBL472,Ki,27500.0,nM,=,,,,4.56,inhibitor [Ki=27.5uM],,,,CHEMBL2073959,1669160,CHEMBL6020,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
11002844,CHEMBL2077352,CHEMBL185878,Ki,28000.0,nM,=,,,,4.55,inhibitor [Ki=28uM],,,,CHEMBL2073959,1669170,CHEMBL6020,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
11002884,CHEMBL2075452,CHEMBL437765,Ki,31000.0,nM,=,,,,4.51,inhibitor [Ki=31uM],,,,CHEMBL2073959,1669199,CHEMBL6020,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(cc(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C
11003278,CHEMBL2077352,CHEMBL1552,Ki,7000.0,nM,=,,,,5.16,inhibitor [Ki=7uM],,,,CHEMBL2073959,1669509,CHEMBL6020,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
11003316,CHEMBL2075454,CHEMBL160,Ki,9500.0,nM,=,,,,5.02,inhibitor [Ki=9.5uM],,,,CHEMBL2073959,1669526,CHEMBL6020,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C
13863451,CHEMBL3101856,CHEMBL3099716,IC50,11000.0,nM,=,,,,4.96,,,,"{'bei': '11.18', 'le': '0.21', 'lle': '-0.16', 'sei': '5.26'}",CHEMBL3098003,1956958,CHEMBL6020,CC1(C)OC(=O)N([C@H]2CC[C@H](c3cnc(N)c(-c4ncccn4)c3)CC2)[C@H]1c1ccccc1
15083160,CHEMBL3389575,CHEMBL1651956,IC50,110.0,nM,=,,,,6.96,,,,,CHEMBL3351593,2243540,CHEMBL6020,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)[C@H](C)C(=O)N(CC)[C@@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C
15083161,CHEMBL3389575,CHEMBL3344501,IC50,1600.0,nM,=,,,,5.8,,,,,CHEMBL3351593,2245525,CHEMBL6020,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)[C@H](C)C(=O)N(C)[C@@H]([C@@H](C)CN2CCN(CCOC)CC2)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C
15449835,CHEMBL3540573,CHEMBL976,IC50,96800.0,nM,=,,,,4.01,,,,"{'bei': '12.85', 'le': '0.24', 'lle': '1.48', 'sei': '9.88'}",CHEMBL3526080,2469866,CHEMBL6020,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1
15460386,CHEMBL3540573,CHEMBL1159650,IC50,8500.0,nM,=,,,,5.07,,,,"{'bei': '10.86', 'le': '0.22', 'lle': '0.97', 'sei': '6.29'}",CHEMBL3526080,2469706,CHEMBL6020,CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
15460402,CHEMBL3540573,CHEMBL146095,IC50,22300.0,nM,=,,,,4.65,,,,"{'bei': '12.48', 'le': '0.24', 'lle': '1.51', 'sei': '5.07'}",CHEMBL3526080,2469311,CHEMBL6020,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12
15460409,CHEMBL3540573,CHEMBL54349,IC50,9200.0,nM,=,,,,5.04,,,,"{'bei': '12.46', 'le': '0.25', 'lle': '-0.46', 'sei': '13.39'}",CHEMBL3526080,2470494,CHEMBL6020,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2ccc(Cl)cn12
15460413,CHEMBL3540573,CHEMBL408,IC50,2700.0,nM,=,,,,5.57,,,,"{'bei': '12.61', 'le': '0.25', 'lle': '1.20', 'sei': '6.56'}",CHEMBL3526080,2470225,CHEMBL6020,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2
15460415,CHEMBL3540573,CHEMBL833,IC50,74000.0,nM,=,,,,4.13,,,,"{'bei': '15.66', 'le': '0.33', 'lle': '0.17', 'sei': '127.49'}",CHEMBL3526080,2470463,CHEMBL6020,Clc1ccccc1CN1CCc2sccc2C1
15460418,CHEMBL3540573,CHEMBL121,IC50,6400.0,nM,=,,,,5.19,,,,"{'bei': '14.53', 'le': '0.28', 'lle': '2.70', 'sei': '7.26'}",CHEMBL3526080,2469160,CHEMBL6020,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1
15460419,CHEMBL3540573,CHEMBL437765,IC50,6300.0,nM,=,,,,5.2,,,,"{'bei': '7.45', 'le': '0.14', 'lle': '0.45', 'sei': '2.58'}",CHEMBL3526080,2469159,CHEMBL6020,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(cc(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C
15460420,CHEMBL3540573,CHEMBL374478,IC50,11300.0,nM,=,,,,4.95,,,,"{'bei': '6.01', 'le': '0.11', 'lle': '0.61', 'sei': '2.25'}",CHEMBL3526080,2469158,CHEMBL6020,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C
15460422,CHEMBL3540573,CHEMBL595,IC50,300.0,nM,=,,,,6.52,,,,"{'bei': '18.30', 'le': '0.36', 'lle': '3.36', 'sei': '9.55'}",CHEMBL3526080,2470388,CHEMBL6020,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1
15460425,CHEMBL3540573,CHEMBL193,IC50,30700.0,nM,=,,,,4.51,,,,"{'bei': '13.03', 'le': '0.25', 'lle': '2.33', 'sei': '4.19'}",CHEMBL3526080,2468979,CHEMBL6020,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-]
15460426,CHEMBL3540573,CHEMBL623,IC50,4200.0,nM,=,,,,5.38,,,,"{'bei': '11.44', 'le': '0.22', 'lle': '1.83', 'sei': '9.68'}",CHEMBL3526080,2468978,CHEMBL6020,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1
15460428,CHEMBL3540573,CHEMBL157101,IC50,2900.0,nM,=,,,,5.54,,,,"{'bei': '10.42', 'le': '0.21', 'lle': '1.33', 'sei': '8.02'}",CHEMBL3526080,2470335,CHEMBL6020,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
15460431,CHEMBL3540573,CHEMBL472,IC50,5300.0,nM,=,,,,5.28,,,,"{'bei': '10.68', 'le': '0.22', 'lle': '1.64', 'sei': '4.64'}",CHEMBL3526080,2468969,CHEMBL6020,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
15460432,CHEMBL3540573,CHEMBL374975,IC50,11500.0,nM,=,,,,4.94,,,,"{'bei': '9.56', 'le': '0.18', 'lle': '-0.73', 'sei': '4.75'}",CHEMBL3526080,2469171,CHEMBL6020,CC(=O)O[C@H]1C[C@@]2(C)[C@@H](C[C@@H](O)[C@H]3[C@@]4(C)CC[C@@H](O)[C@@H](C)[C@@H]4CC[C@@]32C)/C1=C(\CCC=C(C)C)C(=O)O
15460437,CHEMBL3540573,CHEMBL2218877,IC50,4100.0,nM,=,,,,5.39,,,,"{'bei': '6.82', 'le': '0.13', 'lle': '2.64', 'sei': '2.69'}",CHEMBL3526080,2470190,CHEMBL6020,CCC(=O)O[C@H]1[C@H](O[C@@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C.CCCCCCCCCCCCOS(=O)(=O)O
15460439,CHEMBL3540573,CHEMBL893,IC50,69700.0,nM,=,,,,4.16,,,,"{'bei': '8.84', 'le': '0.19', 'lle': '0.96', 'sei': '3.69'}",CHEMBL3526080,2470188,CHEMBL6020,Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O
15460441,CHEMBL3540573,CHEMBL160,IC50,500.0,nM,=,,,,6.3,,,,"{'bei': '5.24', 'le': None, 'lle': None, 'sei': None}",CHEMBL3526080,2468785,CHEMBL6020,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C
15461938,CHEMBL3540573,CHEMBL957,IC50,38100.0,nM,=,,,,4.42,,,,"{'bei': '8.01', 'le': '0.15', 'lle': '0.22', 'sei': '3.03'}",CHEMBL3526080,2468994,CHEMBL6020,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO
15461942,CHEMBL3540573,CHEMBL1131,IC50,18200.0,nM,=,,,,4.74,,,,"{'bei': '14.52', 'le': '0.27', 'lle': '-0.43', 'sei': '10.19'}",CHEMBL3526080,2470030,CHEMBL6020,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C
16298672,CHEMBL3707554,CHEMBL3704747,IC50,12300.0,nM,=,,,,4.91,317677,,,"{'bei': '5.66', 'le': '0.11', 'lle': '1.89', 'sei': '2.19'}",CHEMBL3639237,2582264,CHEMBL6020,CC(=O)CC[C@H]1C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc2cc(O)cc(F)c2)C(=O)N2CCCC(N2)C(=O)O[C@H](/C(C)=C/C=C/C(=O)N2CCCCO2)C/C=C/C=C/[C@H](O)[C@H](C)[C@H]1O
16303408,CHEMBL3707554,CHEMBL3704745,IC50,180.0,nM,=,,,,6.75,317676,,,"{'bei': '5.54', 'le': None, 'lle': None, 'sei': None}",CHEMBL3639237,2582262,CHEMBL6020,C/C=C/CC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)C(C)C(=O)N(CC)C(C(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C
16306125,CHEMBL3707554,CHEMBL160,IC50,460.0,nM,=,,,,6.34,317675,,,"{'bei': '5.27', 'le': None, 'lle': None, 'sei': None}",CHEMBL3639237,2582265,CHEMBL6020,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C
16595521,CHEMBL3811149,CHEMBL1231206,IC50,7000.0,nM,=,,,,5.16,,,,"{'bei': '13.77', 'le': '0.26', 'lle': '0.79', 'sei': '7.70'}",CHEMBL3808386,2780743,CHEMBL6020,Cc1ccc(-c2ccc3c(ccc4sc5c(c43)NC[C@@H](C)NC5=O)n2)cn1
16595553,CHEMBL3811149,CHEMBL3808630,IC50,7000.0,nM,=,,,,5.16,,,,"{'bei': '11.52', 'le': '0.22', 'lle': '0.33', 'sei': '7.11'}",CHEMBL3808386,2780739,CHEMBL6020,COCCOCc1cccc(-c2ccc3c(ccc4sc5c(c43)NC[C@@H](C)NC5=O)n2)c1
16621108,CHEMBL3819824,CHEMBL3819587,IC50,4000.0,nM,=,,,,5.4,,,,"{'bei': '9.80', 'le': '0.19', 'lle': '1.54', 'sei': '4.36'}",CHEMBL3817762,2782809,CHEMBL6020,COc1cc([C@@H](CC(=O)O)c2ccc(C)c(CN3C[C@@H](C)Oc4ccccc4S3(=O)=O)c2)cc2nnn(C)c12
18051737,CHEMBL4011663,CHEMBL506,IC50,32700.0,nM,=,,,,4.49,,,,,CHEMBL4011581,2991676,CHEMBL6020,COc1cc(NC(C)CCCN)c2ncccc2c1
18051738,CHEMBL4011663,CHEMBL710,IC50,28200.0,nM,=,,,,4.55,,,,,CHEMBL4011581,2991675,CHEMBL6020,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C
18051739,CHEMBL4011663,CHEMBL1231,IC50,27400.0,nM,=,,,,4.56,,,,,CHEMBL4011581,2991674,CHEMBL6020,CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1
