activity_id,assay_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,standard_relation,published_value,published_units,published_relation,pchembl_value,activity_comment,data_validity_comment,confidence_score,ligand_efficiency,document_chembl_id,record_id,target_chembl_id,smiles
478147,CHEMBL660002,CHEMBL328082,Ki,480.0,nM,=,,,,6.32,,,,"{'bei': '26.19', 'le': '0.48', 'lle': '4.12', 'sei': '7.52'}",CHEMBL1131338,170359,CHEMBL2095198,CC(C)(C)/N=C(\NC#N)Nc1ccc(C#N)cc1
482001,CHEMBL660002,CHEMBL93834,Ki,350.0,nM,=,,,,6.46,,,,"{'bei': '23.97', 'le': '0.44', 'lle': '3.63', 'sei': '7.69'}",CHEMBL1131338,170354,CHEMBL2095198,CC(/N=C(\NC#N)Nc1cccc(C#N)c1)C(C)(C)C
483193,CHEMBL660002,CHEMBL328308,Ki,74.0,nM,=,,,,7.13,,,,"{'bei': '20.02', 'le': '0.54', 'lle': '3.81', 'sei': '11.84'}",CHEMBL1131338,170351,CHEMBL2095198,CCC(C)(C)/N=C(\NC#N)Nc1ccc(I)cc1
483197,CHEMBL660002,CHEMBL472,Ki,130.0,nM,=,,,,6.89,,,,"{'bei': '13.94', 'le': '0.28', 'lle': '3.25', 'sei': '6.06'}",CHEMBL1131338,170349,CHEMBL2095198,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
491546,CHEMBL660002,CHEMBL93835,Ki,680.0,nM,=,,,,6.17,,,,"{'bei': '25.24', 'le': '0.47', 'lle': '3.21', 'sei': '10.24'}",CHEMBL1131338,170355,CHEMBL2095198,CC(/N=C(\NC#N)Nc1ccccc1)C(C)(C)C
492666,CHEMBL660002,CHEMBL11684,Ki,72000.0,nM,=,,,,4.14,,,,"{'bei': '14.47', 'le': '0.27', 'lle': '2.39', 'sei': '5.63'}",CHEMBL1131338,170348,CHEMBL2095198,CC1(C)Oc2ccc(C#N)cc2[C@H](N2CCCC2=O)[C@H]1O
493836,CHEMBL660002,CHEMBL11684,Ki,1100.0,nM,=,,,,5.96,,,,"{'bei': '20.81', 'le': '0.39', 'lle': '4.21', 'sei': '8.10'}",CHEMBL1131338,170350,CHEMBL2095198,CC1(C)Oc2ccc(C#N)cc2[C@H](N2CCCC2=O)[C@H]1O
496051,CHEMBL660002,CHEMBL11458,Ki,27.0,nM,=,,,,7.57,,,,"{'bei': '32.72', 'le': '0.61', 'lle': '5.46', 'sei': '10.35'}",CHEMBL1131338,170361,CHEMBL2095198,CCC(C)(C)/N=C(\NC#N)Nc1cccnc1
497199,CHEMBL660002,CHEMBL19169,Ki,99.0,nM,=,,,,7.0,,,,"{'bei': '26.00', 'le': '0.48', 'lle': '4.17', 'sei': '8.34'}",CHEMBL1131338,170356,CHEMBL2095198,CC(/N=C(\NC#N)Nc1ccc(C#N)cc1)C(C)(C)C
502098,CHEMBL660002,CHEMBL93344,Ki,57.0,nM,=,,,,7.24,,,,"{'bei': '18.24', 'le': '0.47', 'lle': '2.98', 'sei': '6.65'}",CHEMBL1131338,170347,CHEMBL2095198,CCC(C)(C)/N=C(\NC#N)Nc1ccc(I)c(N=[N+]=[N-])c1
503412,CHEMBL660002,CHEMBL90665,Ki,7300.0,nM,=,,,,5.14,,,,"{'bei': '22.60', 'le': '0.41', 'lle': '3.33', 'sei': '6.12'}",CHEMBL1131338,170358,CHEMBL2095198,CC(C)/N=C(\NC#N)Nc1ccc(C#N)cc1
1115014,CHEMBL700931,CHEMBL18861,EC50,398.11,nM,=,,,,6.4,,,,,CHEMBL1148468,247541,CHEMBL2095198,C[C@](O)(C(=O)Nc1ccc(C(=O)c2ccccc2)cc1)C(F)(F)F
1779477,CHEMBL908895,CHEMBL217511,EC50,45.71,nM,=,,,,7.34,,,,,CHEMBL1137338,593546,CHEMBL2095198,O=C1COCC2=C1C(c1ccc(F)c(Br)c1)C1=C(O)OCC1=N2
1779479,CHEMBL908895,CHEMBL218515,EC50,933.25,nM,=,,,,6.03,,,,,CHEMBL1137338,593566,CHEMBL2095198,CC[C@@H]1OCC(=O)C2=C1N=C1COC(O)=C1[C@@H]2c1ccc(F)c(Br)c1
1779480,CHEMBL908895,CHEMBL216284,EC50,18.2,nM,=,,,,7.74,,,,,CHEMBL1137338,593565,CHEMBL2095198,CC[C@H]1OCC(=O)C2=C1N=C1COC(O)=C1[C@@H]2c1ccc(F)c(Br)c1
1779481,CHEMBL908895,CHEMBL217696,EC50,120.23,nM,=,,,,6.92,,,,,CHEMBL1137338,593564,CHEMBL2095198,CC1(C)OCC(=O)C2=C1N=C1COC(O)=C1C2c1ccc(F)c(Br)c1
1779482,CHEMBL908895,CHEMBL385908,EC50,102.33,nM,=,,,,6.99,,,,,CHEMBL1137338,593563,CHEMBL2095198,C[C@@H]1OCC(=O)C2=C1N=C1COC(O)=C1[C@@H]2c1ccc(F)c(Br)c1
1779483,CHEMBL908895,CHEMBL413532,EC50,1.82,nM,=,,,,8.74,,,,,CHEMBL1137338,593562,CHEMBL2095198,C[C@H]1OCC(=O)C2=C1N=C1COC(O)=C1[C@@H]2c1ccc(F)c(Br)c1
1779484,CHEMBL908895,CHEMBL384537,EC50,1023.29,nM,=,,,,5.99,,,,,CHEMBL1137338,593561,CHEMBL2095198,CC[C@H]1OCC2=C(C1=O)[C@@H](c1ccc(F)c(Br)c1)C1=C(O)OCC1=N2
1779485,CHEMBL908895,CHEMBL215681,EC50,1380.38,nM,=,,,,5.86,,,,,CHEMBL1137338,593560,CHEMBL2095198,CC[C@@H]1OCC2=C(C1=O)[C@@H](c1ccc(F)c(Br)c1)C1=C(O)OCC1=N2
1779486,CHEMBL908895,CHEMBL215681,EC50,776.25,nM,=,,,,6.11,,,,,CHEMBL1137338,593559,CHEMBL2095198,CC[C@@H]1OCC2=C(C1=O)[C@@H](c1ccc(F)c(Br)c1)C1=C(O)OCC1=N2
1779488,CHEMBL908895,CHEMBL386582,EC50,2818.38,nM,=,,,,5.55,,,,,CHEMBL1137338,593557,CHEMBL2095198,CC1(C)OCC2=C(C1=O)C(c1ccc(F)c(Br)c1)C1=C(O)OCC1=N2
1779489,CHEMBL908895,CHEMBL386582,EC50,26.92,nM,=,,,,7.57,,,,,CHEMBL1137338,593556,CHEMBL2095198,CC1(C)OCC2=C(C1=O)C(c1ccc(F)c(Br)c1)C1=C(O)OCC1=N2
1779490,CHEMBL908895,CHEMBL386582,EC50,23.99,nM,=,,,,7.62,,,,,CHEMBL1137338,593555,CHEMBL2095198,CC1(C)OCC2=C(C1=O)C(c1ccc(F)c(Br)c1)C1=C(O)OCC1=N2
1779491,CHEMBL908895,CHEMBL386126,EC50,295.12,nM,=,,,,6.53,,,,,CHEMBL1137338,593554,CHEMBL2095198,C[C@@H]1OCC2=C(C1=O)[C@H](c1ccc(F)c(Br)c1)C1=C(O)OCC1=N2
1779492,CHEMBL908895,CHEMBL386126,EC50,72.44,nM,=,,,,7.14,,,,,CHEMBL1137338,593553,CHEMBL2095198,C[C@@H]1OCC2=C(C1=O)[C@H](c1ccc(F)c(Br)c1)C1=C(O)OCC1=N2
1779493,CHEMBL908895,CHEMBL386126,EC50,457.09,nM,=,,,,6.34,,,,,CHEMBL1137338,593552,CHEMBL2095198,C[C@@H]1OCC2=C(C1=O)[C@H](c1ccc(F)c(Br)c1)C1=C(O)OCC1=N2
1779494,CHEMBL908895,CHEMBL425087,EC50,512.86,nM,=,,,,6.29,,,,,CHEMBL1137338,593551,CHEMBL2095198,C[C@@H]1OCC2=C(C1=O)[C@@H](c1ccc(F)c(Br)c1)C1=C(O)OCC1=N2
1779495,CHEMBL908895,CHEMBL425087,EC50,173.78,nM,=,,,,6.76,,,,,CHEMBL1137338,593550,CHEMBL2095198,C[C@@H]1OCC2=C(C1=O)[C@@H](c1ccc(F)c(Br)c1)C1=C(O)OCC1=N2
1779496,CHEMBL908895,CHEMBL425087,EC50,501.19,nM,=,,,,6.3,,,,,CHEMBL1137338,593549,CHEMBL2095198,C[C@@H]1OCC2=C(C1=O)[C@@H](c1ccc(F)c(Br)c1)C1=C(O)OCC1=N2
1779497,CHEMBL908895,CHEMBL217511,EC50,37.15,nM,=,,,,7.43,,,,,CHEMBL1137338,593548,CHEMBL2095198,O=C1COCC2=C1C(c1ccc(F)c(Br)c1)C1=C(O)OCC1=N2
1779498,CHEMBL908895,CHEMBL2112487,EC50,63.1,nM,=,,,,7.2,,,,,CHEMBL1137338,593547,CHEMBL2095198,O=C1COCC2=C1[C@@H](c1ccc(F)c(Br)c1)C1=C(COC1=O)N2
1779518,CHEMBL908895,CHEMBL384576,EC50,27.54,nM,=,,,,7.56,,,,,CHEMBL1137338,593596,CHEMBL2095198,CC(C)C[C@@H]1OC(O)=C2C1=NC1=C(C(=O)COC1)[C@H]2c1ccc(F)c(Br)c1
1779519,CHEMBL908895,CHEMBL386843,EC50,851.14,nM,=,,,,6.07,,,,,CHEMBL1137338,593595,CHEMBL2095198,CCCC[C@H]1OC(O)=C2C1=NC1=C(C(=O)COC1)[C@H]2c1ccc(F)c(Br)c1
1779520,CHEMBL908895,CHEMBL386843,EC50,5128.61,nM,=,,,,5.29,,,,,CHEMBL1137338,593594,CHEMBL2095198,CCCC[C@H]1OC(O)=C2C1=NC1=C(C(=O)COC1)[C@H]2c1ccc(F)c(Br)c1
1779521,CHEMBL908895,CHEMBL386843,EC50,2187.76,nM,=,,,,5.66,,,,,CHEMBL1137338,593593,CHEMBL2095198,CCCC[C@H]1OC(O)=C2C1=NC1=C(C(=O)COC1)[C@H]2c1ccc(F)c(Br)c1
1779522,CHEMBL908895,CHEMBL386323,EC50,29.51,nM,=,,,,7.53,,,,,CHEMBL1137338,593592,CHEMBL2095198,CCCC[C@@H]1OC(O)=C2C1=NC1=C(C(=O)COC1)[C@H]2c1ccc(F)c(Br)c1
1779525,CHEMBL908895,CHEMBL216546,EC50,22.91,nM,=,,,,7.64,,,,,CHEMBL1137338,593589,CHEMBL2095198,COC[C@H]1OC(O)=C2C1=NC1=C(C(=O)COC1)[C@H]2c1ccc(F)c(Br)c1
1779526,CHEMBL908895,CHEMBL216546,EC50,478.63,nM,=,,,,6.32,,,,,CHEMBL1137338,593588,CHEMBL2095198,COC[C@H]1OC(O)=C2C1=NC1=C(C(=O)COC1)[C@H]2c1ccc(F)c(Br)c1
1779527,CHEMBL908895,CHEMBL216546,EC50,22.91,nM,=,,,,7.64,,,,,CHEMBL1137338,593587,CHEMBL2095198,COC[C@H]1OC(O)=C2C1=NC1=C(C(=O)COC1)[C@H]2c1ccc(F)c(Br)c1
1779528,CHEMBL908895,CHEMBL386363,EC50,9.772,nM,=,,,,8.01,,,,,CHEMBL1137338,593586,CHEMBL2095198,COC[C@@H]1OC(O)=C2C1=NC1=C(C(=O)COC1)[C@H]2c1ccc(F)c(Br)c1
1779529,CHEMBL908895,CHEMBL214841,EC50,27.54,nM,=,,,,7.56,,,,,CHEMBL1137338,593585,CHEMBL2095198,CCC[C@H]1OC(O)=C2C1=NC1=C(C(=O)COC1)[C@H]2c1ccc(F)c(Br)c1
1779530,CHEMBL908895,CHEMBL214841,EC50,3235.94,nM,=,,,,5.49,,,,,CHEMBL1137338,593584,CHEMBL2095198,CCC[C@H]1OC(O)=C2C1=NC1=C(C(=O)COC1)[C@H]2c1ccc(F)c(Br)c1
1779531,CHEMBL908895,CHEMBL214841,EC50,154.88,nM,=,,,,6.81,,,,,CHEMBL1137338,593583,CHEMBL2095198,CCC[C@H]1OC(O)=C2C1=NC1=C(C(=O)COC1)[C@H]2c1ccc(F)c(Br)c1
1779532,CHEMBL908895,CHEMBL218564,EC50,3.715,nM,=,,,,8.43,,,,,CHEMBL1137338,593582,CHEMBL2095198,CCC[C@@H]1OC(O)=C2C1=NC1=C(C(=O)COC1)[C@H]2c1ccc(F)c(Br)c1
1779533,CHEMBL908895,CHEMBL218564,EC50,1.0,nM,=,,,,9.0,,,,,CHEMBL1137338,593581,CHEMBL2095198,CCC[C@@H]1OC(O)=C2C1=NC1=C(C(=O)COC1)[C@H]2c1ccc(F)c(Br)c1
1779534,CHEMBL908895,CHEMBL218564,EC50,5.129,nM,=,,,,8.29,,,,,CHEMBL1137338,593580,CHEMBL2095198,CCC[C@@H]1OC(O)=C2C1=NC1=C(C(=O)COC1)[C@H]2c1ccc(F)c(Br)c1
1779535,CHEMBL908895,CHEMBL215375,EC50,169.82,nM,=,,,,6.77,,,,,CHEMBL1137338,593579,CHEMBL2095198,CC[C@H]1OC(O)=C2C1=NC1=C(C(=O)COC1)[C@H]2c1ccc(F)c(Br)c1
1779536,CHEMBL908895,CHEMBL215375,EC50,7244.36,nM,=,,,,5.14,,,,,CHEMBL1137338,593578,CHEMBL2095198,CC[C@H]1OC(O)=C2C1=NC1=C(C(=O)COC1)[C@H]2c1ccc(F)c(Br)c1
1779537,CHEMBL908895,CHEMBL215375,EC50,95.5,nM,=,,,,7.02,,,,,CHEMBL1137338,593577,CHEMBL2095198,CC[C@H]1OC(O)=C2C1=NC1=C(C(=O)COC1)[C@H]2c1ccc(F)c(Br)c1
1779538,CHEMBL908895,CHEMBL384564,EC50,144.54,nM,=,,,,6.84,,,,,CHEMBL1137338,593576,CHEMBL2095198,CC[C@@H]1OC(O)=C2C1=NC1=C(C(=O)COC1)[C@H]2c1ccc(F)c(Br)c1
1779539,CHEMBL908895,CHEMBL384564,EC50,3.89,nM,=,,,,8.41,,,,,CHEMBL1137338,593575,CHEMBL2095198,CC[C@@H]1OC(O)=C2C1=NC1=C(C(=O)COC1)[C@H]2c1ccc(F)c(Br)c1
1779540,CHEMBL908895,CHEMBL384564,EC50,35.48,nM,=,,,,7.45,,,,,CHEMBL1137338,593574,CHEMBL2095198,CC[C@@H]1OC(O)=C2C1=NC1=C(C(=O)COC1)[C@H]2c1ccc(F)c(Br)c1
1779541,CHEMBL908895,CHEMBL261996,EC50,26.92,nM,=,,,,7.57,,,,,CHEMBL1137338,593573,CHEMBL2095198,CC1(C)OC(O)=C2C1=NC1=C(C(=O)COC1)C2c1ccc(F)c(Br)c1
1779542,CHEMBL908895,CHEMBL215996,EC50,257.04,nM,=,,,,6.59,,,,,CHEMBL1137338,593572,CHEMBL2095198,C[C@H]1OC(O)=C2C1=NC1=C(C(=O)COC1)[C@H]2c1ccc(F)c(Br)c1
1779543,CHEMBL908895,CHEMBL215996,EC50,64.57,nM,=,,,,7.19,,,,,CHEMBL1137338,593571,CHEMBL2095198,C[C@H]1OC(O)=C2C1=NC1=C(C(=O)COC1)[C@H]2c1ccc(F)c(Br)c1
1779544,CHEMBL908895,CHEMBL215996,EC50,1000.0,nM,=,,,,6.0,,,,,CHEMBL1137338,593570,CHEMBL2095198,C[C@H]1OC(O)=C2C1=NC1=C(C(=O)COC1)[C@H]2c1ccc(F)c(Br)c1
1779545,CHEMBL908895,CHEMBL426334,EC50,51.29,nM,=,,,,7.29,,,,,CHEMBL1137338,593569,CHEMBL2095198,C[C@@H]1OC(O)=C2C1=NC1=C(C(=O)COC1)[C@H]2c1ccc(F)c(Br)c1
1779546,CHEMBL908895,CHEMBL426334,EC50,0.912,nM,=,,,,9.04,,,,,CHEMBL1137338,593568,CHEMBL2095198,C[C@@H]1OC(O)=C2C1=NC1=C(C(=O)COC1)[C@H]2c1ccc(F)c(Br)c1
1779547,CHEMBL908895,CHEMBL426334,EC50,5.495,nM,=,,,,8.26,,,,,CHEMBL1137338,593567,CHEMBL2095198,C[C@@H]1OC(O)=C2C1=NC1=C(C(=O)COC1)[C@H]2c1ccc(F)c(Br)c1
1779606,CHEMBL908895,CHEMBL217033,EC50,218.78,nM,=,,,,6.66,,,,,CHEMBL1137338,593629,CHEMBL2095198,CCC[C@H]1OC(O)=C2C1=NC1=C(C(=O)COC1)[C@H]2c1ccc(C)c(Br)c1
1779607,CHEMBL908895,CHEMBL217033,EC50,3467.37,nM,=,,,,5.46,,,,,CHEMBL1137338,593628,CHEMBL2095198,CCC[C@H]1OC(O)=C2C1=NC1=C(C(=O)COC1)[C@H]2c1ccc(C)c(Br)c1
1779608,CHEMBL908895,CHEMBL217033,EC50,398.11,nM,=,,,,6.4,,,,,CHEMBL1137338,593627,CHEMBL2095198,CCC[C@H]1OC(O)=C2C1=NC1=C(C(=O)COC1)[C@H]2c1ccc(C)c(Br)c1
1779609,CHEMBL908895,CHEMBL215026,EC50,125.89,nM,=,,,,6.9,,,,,CHEMBL1137338,593626,CHEMBL2095198,CCC[C@H]1OC(O)=C2C1=NC1=C(C(=O)COC1)[C@H]2c1ccc(Br)c(Br)c1
1779610,CHEMBL908895,CHEMBL215026,EC50,1148.15,nM,=,,,,5.94,,,,,CHEMBL1137338,593625,CHEMBL2095198,CCC[C@H]1OC(O)=C2C1=NC1=C(C(=O)COC1)[C@H]2c1ccc(Br)c(Br)c1
1779611,CHEMBL908895,CHEMBL215026,EC50,331.13,nM,=,,,,6.48,,,,,CHEMBL1137338,593624,CHEMBL2095198,CCC[C@H]1OC(O)=C2C1=NC1=C(C(=O)COC1)[C@H]2c1ccc(Br)c(Br)c1
1779612,CHEMBL908895,CHEMBL383900,EC50,436.52,nM,=,,,,6.36,,,,,CHEMBL1137338,593623,CHEMBL2095198,CCC[C@H]1OC(O)=C2C1=NC1=C(C(=O)COC1)[C@H]2c1ccc(Br)c(Cl)c1
1779613,CHEMBL908895,CHEMBL383900,EC50,1047.13,nM,=,,,,5.98,,,,,CHEMBL1137338,593622,CHEMBL2095198,CCC[C@H]1OC(O)=C2C1=NC1=C(C(=O)COC1)[C@H]2c1ccc(Br)c(Cl)c1
1779614,CHEMBL908895,CHEMBL383900,EC50,426.58,nM,=,,,,6.37,,,,,CHEMBL1137338,593621,CHEMBL2095198,CCC[C@H]1OC(O)=C2C1=NC1=C(C(=O)COC1)[C@H]2c1ccc(Br)c(Cl)c1
1779615,CHEMBL908895,CHEMBL215124,EC50,151.36,nM,=,,,,6.82,,,,,CHEMBL1137338,593620,CHEMBL2095198,CCC[C@H]1OC(O)=C2C1=NC1=C(C(=O)COC1)[C@H]2c1ccc(Cl)c(Br)c1
