activity_id,assay_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,standard_relation,published_value,published_units,published_relation,pchembl_value,activity_comment,data_validity_comment,confidence_score,ligand_efficiency,document_chembl_id,record_id,target_chembl_id,smiles
13205640,CHEMBL2363735,CHEMBL472940,IC50,416754.78,nM,=,,,,,,Outside typical range,,,CHEMBL1201861,1878469,CHEMBL1075391,Oc1ccc2ccccc2c1SSc1c(O)ccc2ccccc12
13205641,CHEMBL2363735,CHEMBL558642,IC50,6583.02,nM,=,,,,5.18,,,,,CHEMBL1201861,1878465,CHEMBL1075391,O=C(O)c1ccc(-c2c[nH]c3ncc(-c4ccccc4)cc23)cc1C1CCCC1
13205642,CHEMBL2363735,CHEMBL1190711,IC50,10208.09,nM,=,,,,4.99,,,,,CHEMBL1201861,1878419,CHEMBL1075391,COc1ccc(-c2cc3nccn3c(Nc3ncccc3C(N)=O)n2)cc1OC
13205643,CHEMBL2363735,CHEMBL96926,IC50,3.192,nM,=,,,,8.50,,,,,CHEMBL1201861,1878382,CHEMBL1075391,C/C=C(/C)C(=O)O[C@H]1C(C)=C2[C@H]([C@@H]1OC(=O)CCCCCCC)[C@@](C)(OC(C)=O)C[C@H](OC(=O)CCC)[C@@]1(O)[C@H]2OC(=O)[C@@]1(C)O
13205644,CHEMBL2363735,CHEMBL2107358,IC50,504.96,nM,=,,,,6.30,,,,,CHEMBL1201861,1878353,CHEMBL1075391,COC1=CC(c2cc3ccccc3[nH]2)=N/C1=C\c1[nH]c(C)cc1C.CS(=O)(=O)O
13205645,CHEMBL2363735,CHEMBL575448,IC50,116.95,nM,=,,,,6.93,,,,,CHEMBL1201861,1878430,CHEMBL1075391,C[C@@]1(C(=O)Nc2ccc(F)nc2)CCCN1c1nc(Nc2cc(C3CC3)n[nH]2)c2cccn2n1
13205646,CHEMBL2363735,CHEMBL1091644,IC50,903.52,nM,=,,,,6.04,,,,,CHEMBL1201861,1878354,CHEMBL1075391,C[C@]1(O)C[C@@H](c2nc(-c3ccc4ccc(-c5ccccc5)nc4c3)c3c(N)nccn32)C1
13205647,CHEMBL2363735,CHEMBL1023,IC50,76829.83,nM,=,,,,4.11,,,,,CHEMBL1201861,1878420,CHEMBL1075391,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C
13205648,CHEMBL2363735,CHEMBL403664,IC50,19667.88,nM,=,,,,4.71,,,,,CHEMBL1201861,1878426,CHEMBL1075391,Cc1c(N)nc([C@H](CC(N)=O)NC[C@H](N)C(N)=O)nc1C(=O)N[C@H](C(=O)N[C@H](C)[C@@H](O)[C@H](C)C(=O)N[C@H](C(=O)NCCc1nc(-c2nc(C(=O)NCCC[S+](C)C)cs2)cs1)[C@@H](C)O)[C@@H](O[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]1O)c1c[nH]cn1
13205649,CHEMBL2363735,CHEMBL228043,IC50,627928.94,nM,=,,,,,,Outside typical range,,,CHEMBL1201861,1878339,CHEMBL1075391,C/C(O)=C(\C#N)C(=O)Nc1cc(Br)ccc1Br
