activity_id,assay_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,standard_relation,published_value,published_units,published_relation,pchembl_value,activity_comment,data_validity_comment,confidence_score,ligand_efficiency,document_chembl_id,record_id,target_chembl_id
10996933,CHEMBL2075588,CHEMBL2074784,Km,13000.0,nM,=,,,,,substrate [Km=13uM],,,,CHEMBL2073927,1670053,CHEMBL5393
11000134,CHEMBL2076809,CHEMBL494753,Km,17000.0,nM,=,,,,,substrate [Km=17uM],,,,CHEMBL2073927,1670094,CHEMBL5393
11000240,CHEMBL2077872,CHEMBL1743143,Km,26000.0,nM,=,,,,,substrate [Km=26uM],,,,CHEMBL2073859,1670393,CHEMBL5393
11000248,CHEMBL2076809,CHEMBL2074805,Km,27000.0,nM,=,,,,,substrate [Km=27uM],,,,CHEMBL2073927,1670400,CHEMBL5393
11000407,CHEMBL2075589,CHEMBL34259,Km,5700000.0,nM,=,,,,,substrate [Km =5.7mM],,,,CHEMBL2073902,1671137,CHEMBL5393
11000413,CHEMBL2077075,CHEMBL34259,Km,1300000.0,nM,=,,,,,substrate [Km=1.3mM],,,,CHEMBL2074091,1671143,CHEMBL5393
11000629,CHEMBL2077872,CHEMBL837,Km,4000.0,nM,=,,,,,substrate [Km=4uM],,,,CHEMBL2073859,1670672,CHEMBL5393
11000704,CHEMBL2075584,CHEMBL494753,Km,6800.0,nM,=,,,,,substrate [Km=6.8uM],,,,CHEMBL2074466,1670723,CHEMBL5393
11000725,CHEMBL2077856,CHEMBL34259,Km,680000.0,nM,=,,,,,substrate [Km=680uM],,,,CHEMBL2073962,1670946,CHEMBL5393
15469246,CHEMBL3535876,CHEMBL2096747,Km,5320.0,nM,=,,,,,,,,,CHEMBL3525931,2469104,CHEMBL5393
15469247,CHEMBL3535876,CHEMBL3526697,Km,590.0,nM,=,,,,,,,,,CHEMBL3525931,2469606,CHEMBL5393
18072657,CHEMBL4015709,CHEMBL4071711,Vmax,119.0,%,=,,,,,,,,,CHEMBL4014315,2995594,CHEMBL5393
18072658,CHEMBL4015709,CHEMBL4098723,Vmax,154.0,%,=,,,,,,,,,CHEMBL4014315,2995595,CHEMBL5393
18072659,CHEMBL4015709,CHEMBL4082228,Vmax,185.0,%,=,,,,,,,,,CHEMBL4014315,2995596,CHEMBL5393
18072660,CHEMBL4015709,CHEMBL4075328,Vmax,164.0,%,=,,,,,,,,,CHEMBL4014315,2995597,CHEMBL5393
18072661,CHEMBL4015709,CHEMBL4068441,Vmax,115.0,%,=,,,,,,,,,CHEMBL4014315,2995598,CHEMBL5393
18072662,CHEMBL4015709,CHEMBL4089579,Vmax,151.0,%,=,,,,,,,,,CHEMBL4014315,2995599,CHEMBL5393
18072663,CHEMBL4015709,CHEMBL4059784,Vmax,178.0,%,=,,,,,,,,,CHEMBL4014315,2995600,CHEMBL5393
18072664,CHEMBL4015709,CHEMBL4081708,Vmax,137.0,%,=,,,,,,,,,CHEMBL4014315,2995601,CHEMBL5393
18072665,CHEMBL4015709,CHEMBL4071162,Vmax,137.0,%,=,,,,,,,,,CHEMBL4014315,2995603,CHEMBL5393
18072666,CHEMBL4015709,CHEMBL4090505,Vmax,132.0,%,=,,,,,,,,,CHEMBL4014315,2995604,CHEMBL5393
18072667,CHEMBL4015709,CHEMBL1499954,Vmax,137.0,%,=,,,,,,,,,CHEMBL4014315,2995605,CHEMBL5393
18072668,CHEMBL4015709,CHEMBL4082677,Vmax,152.0,%,=,,,,,,,,,CHEMBL4014315,2995606,CHEMBL5393
18072669,CHEMBL4015709,CHEMBL4082355,Vmax,150.0,%,=,,,,,,,,,CHEMBL4014315,2995608,CHEMBL5393
18072670,CHEMBL4015709,CHEMBL4071857,Vmax,152.0,%,=,,,,,,,,,CHEMBL4014315,2995610,CHEMBL5393
18072671,CHEMBL4015709,CHEMBL4097911,Vmax,140.0,%,=,,,,,,,,,CHEMBL4014315,2995612,CHEMBL5393
18072672,CHEMBL4015709,CHEMBL4083491,Vmax,151.0,%,=,,,,,,,,,CHEMBL4014315,2995619,CHEMBL5393
18072673,CHEMBL4015709,CHEMBL4099533,Vmax,40.0,%,=,,,,,,,,,CHEMBL4014315,2995622,CHEMBL5393
18072674,CHEMBL4015709,CHEMBL4083108,Vmax,133.0,%,=,,,,,,,,,CHEMBL4014315,2995625,CHEMBL5393
