activity_id,assay_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,standard_relation,published_value,published_units,published_relation,pchembl_value,activity_comment,data_validity_comment,confidence_score,ligand_efficiency,document_chembl_id,record_id,target_chembl_id
82183,CHEMBL779648,CHEMBL53492,IC50,3600.0,nM,=,,,,5.44,,,,,CHEMBL1149931,90244,CHEMBL2095152
93205,CHEMBL686671,CHEMBL301166,IC50,2520.0,nM,=,,,,5.60,,,,,CHEMBL1149931,90237,CHEMBL2095152
97291,CHEMBL686671,CHEMBL11684,IC50,1500.0,nM,=,,,,5.82,,,,,CHEMBL1149931,90242,CHEMBL2095152
196123,CHEMBL762564,CHEMBL131352,EC50,5011.87,nM,=,,,,5.30,,,,,CHEMBL1148468,247533,CHEMBL2095152
198267,CHEMBL762564,CHEMBL128096,EC50,1995.26,nM,=,,,,5.70,,,,,CHEMBL1148468,247536,CHEMBL2095152
202147,CHEMBL762564,CHEMBL131453,EC50,7943.28,nM,=,,,,5.10,,,,,CHEMBL1148468,247520,CHEMBL2095152
206912,CHEMBL762564,CHEMBL335172,EC50,2511.89,nM,=,,,,5.60,,,,,CHEMBL1148468,247523,CHEMBL2095152
206914,CHEMBL762564,CHEMBL1788243,EC50,19952.62,nM,=,,,,4.70,,,,,CHEMBL1148468,247524,CHEMBL2095152
208073,CHEMBL762564,CHEMBL339992,EC50,5011.87,nM,=,,,,5.30,,,,,CHEMBL1148468,247526,CHEMBL2095152
210419,CHEMBL762564,CHEMBL421903,EC50,1995.26,nM,=,,,,5.70,,,,,CHEMBL1148468,247519,CHEMBL2095152
213926,CHEMBL762564,CHEMBL129080,EC50,1584.89,nM,=,,,,5.80,,,,,CHEMBL1148468,247528,CHEMBL2095152
215027,CHEMBL762564,CHEMBL127164,EC50,19952.62,nM,=,,,,4.70,,,,,CHEMBL1148468,247539,CHEMBL2095152
221050,CHEMBL762564,CHEMBL131347,EC50,7943.28,nM,=,,,,5.10,,,,,CHEMBL1148468,247540,CHEMBL2095152
221053,CHEMBL762564,CHEMBL239512,EC50,5011.87,nM,=,,,,5.30,,,,,CHEMBL1148468,247535,CHEMBL2095152
265244,CHEMBL678531,CHEMBL36665,EC50,30.0,nM,=,,,,7.52,,,,,CHEMBL1135128,55348,CHEMBL2095152
265246,CHEMBL858283,CHEMBL36665,EC50,338.84,nM,=,,,,6.47,,,,,CHEMBL1135128,55348,CHEMBL2095152
265247,CHEMBL678531,CHEMBL285407,EC50,187.0,nM,=,,,,6.73,,,,,CHEMBL1135128,55323,CHEMBL2095152
267747,CHEMBL678531,CHEMBL35250,EC50,9700.0,nM,=,,,,5.01,,,,,CHEMBL1135128,55341,CHEMBL2095152
269060,CHEMBL678531,CHEMBL285533,EC50,1100.0,nM,=,,,,5.96,,,,,CHEMBL1135128,55345,CHEMBL2095152
270376,CHEMBL678531,CHEMBL33973,EC50,3200.0,nM,=,,,,5.50,,,,,CHEMBL1135128,55344,CHEMBL2095152
270377,CHEMBL678531,CHEMBL34523,EC50,30.0,nM,=,,,,7.52,,,,,CHEMBL1135128,55342,CHEMBL2095152
271676,CHEMBL678531,CHEMBL287995,EC50,7800.0,nM,=,,,,5.11,,,,,CHEMBL1135128,55327,CHEMBL2095152
272909,CHEMBL678531,CHEMBL37959,EC50,394.0,nM,=,,,,6.41,,,,,CHEMBL1135128,55333,CHEMBL2095152
276691,CHEMBL678531,CHEMBL35554,EC50,155.0,nM,=,,,,6.81,,,,,CHEMBL1135128,55335,CHEMBL2095152
