activity_id,assay_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,standard_relation,published_value,published_units,published_relation,pchembl_value,activity_comment,data_validity_comment,confidence_score,ligand_efficiency,document_chembl_id,record_id,target_chembl_id
2897639,CHEMBL1062831,CHEMBL223360,Kd,10000.0,nM,>,,,,,,,,,CHEMBL1150977,845283,CHEMBL5550
2897640,CHEMBL1062831,CHEMBL572881,Kd,10000.0,nM,>,,,,,,,,,CHEMBL1150977,845284,CHEMBL5550
2897641,CHEMBL1062831,CHEMBL574738,Kd,10000.0,nM,>,,,,,,,,,CHEMBL1150977,845285,CHEMBL5550
2897642,CHEMBL1062831,CHEMBL215152,Kd,10000.0,nM,>,,,,,,,,,CHEMBL1150977,845286,CHEMBL5550
2897643,CHEMBL1062831,CHEMBL103667,Kd,10000.0,nM,>,,,,,,,,,CHEMBL1150977,845287,CHEMBL5550
2897644,CHEMBL1062831,CHEMBL296468,Kd,10000.0,nM,>,,,,,,,,,CHEMBL1150977,845288,CHEMBL5550
2897645,CHEMBL1062831,CHEMBL522892,Kd,10000.0,nM,>,,,,,,,,,CHEMBL1150977,845289,CHEMBL5550
2897646,CHEMBL1062831,CHEMBL558752,Kd,10000.0,nM,>,,,,,,,,,CHEMBL1150977,845290,CHEMBL5550
2897647,CHEMBL1062831,CHEMBL31965,Kd,1500.0,nM,=,,,,5.82,,,,"{'bei': '11.98', 'le': '0.23', 'lle': '1.43', 'sei': '6.57'}",CHEMBL1150977,845291,CHEMBL5550
2897648,CHEMBL1062831,CHEMBL221959,Kd,10000.0,nM,>,,,,,,,,,CHEMBL1150977,845292,CHEMBL5550
2897649,CHEMBL1062831,CHEMBL483321,Kd,10000.0,nM,>,,,,,,,,,CHEMBL1150977,845293,CHEMBL5550
2897650,CHEMBL1062831,CHEMBL5416410,Kd,190.0,nM,=,,,,6.72,,,,"{'bei': '13.77', 'le': '0.28', 'lle': '3.41', 'sei': '6.31'}",CHEMBL1150977,845294,CHEMBL5550
2897651,CHEMBL1062831,CHEMBL607707,Kd,10000.0,nM,>,,,,,,,,,CHEMBL1150977,845295,CHEMBL5550
2897652,CHEMBL1062831,CHEMBL553,Kd,1900.0,nM,=,,,,5.72,,,,"{'bei': '14.54', 'le': '0.27', 'lle': '2.31', 'sei': '7.66'}",CHEMBL1150977,845296,CHEMBL5550
2897653,CHEMBL1062831,CHEMBL428690,Kd,10000.0,nM,>,,,,,,,,,CHEMBL1150977,845297,CHEMBL5550
2897654,CHEMBL1062831,CHEMBL939,Kd,10000.0,nM,>,,,,,,,,,CHEMBL1150977,845298,CHEMBL5550
2897655,CHEMBL1062831,CHEMBL261849,Kd,10000.0,nM,>,,,,,,,,,CHEMBL1150977,845299,CHEMBL5550
2897656,CHEMBL1062831,CHEMBL477772,Kd,10000.0,nM,>,,,,,,,,,CHEMBL1150977,845300,CHEMBL5550
2897657,CHEMBL1062831,CHEMBL941,Kd,10000.0,nM,>,,,,,,,,,CHEMBL1150977,845301,CHEMBL5550
2897658,CHEMBL1062831,CHEMBL191003,Kd,1200.0,nM,=,,,,5.92,,,,"{'bei': '15.01', 'le': '0.30', 'lle': '4.70', 'sei': '4.06'}",CHEMBL1150977,845302,CHEMBL5550
2897659,CHEMBL1062831,CHEMBL554,Kd,10000.0,nM,>,,,,,,,,,CHEMBL1150977,845303,CHEMBL5550
2897660,CHEMBL1062831,CHEMBL91829,Kd,10000.0,nM,>,,,,,,,,,CHEMBL1150977,845304,CHEMBL5550
2897661,CHEMBL1062831,CHEMBL124660,Kd,10000.0,nM,>,,,,,,,,,CHEMBL1150977,845305,CHEMBL5550
