activity_id,assay_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,standard_relation,published_value,published_units,published_relation,pchembl_value,activity_comment,data_validity_comment,confidence_score,ligand_efficiency,document_chembl_id,record_id,target_chembl_id
497199,CHEMBL660002,CHEMBL19169,Ki,99.0,nM,=,,,,7.00,,,,"{'bei': '26.00', 'le': '0.48', 'lle': '4.17', 'sei': '8.34'}",CHEMBL1131338,170356,CHEMBL2095198
502098,CHEMBL660002,CHEMBL93344,Ki,57.0,nM,=,,,,7.24,,,,"{'bei': '18.24', 'le': '0.47', 'lle': '2.98', 'sei': '6.65'}",CHEMBL1131338,170347,CHEMBL2095198
503412,CHEMBL660002,CHEMBL90665,Ki,7300.0,nM,=,,,,5.14,,,,"{'bei': '22.60', 'le': '0.41', 'lle': '3.33', 'sei': '6.12'}",CHEMBL1131338,170358,CHEMBL2095198
506890,CHEMBL660002,CHEMBL90631,Ki,30000.0,nM,>,,,,,,,,,CHEMBL1131338,170357,CHEMBL2095198
510602,CHEMBL660002,CHEMBL327884,Ki,30000.0,nM,>,,,,,,,,,CHEMBL1131338,170352,CHEMBL2095198
1115014,CHEMBL700931,CHEMBL18861,EC50,398.11,nM,=,,,,6.40,,,,,CHEMBL1148468,247541,CHEMBL2095198
1779477,CHEMBL908895,CHEMBL217511,EC50,45.71,nM,=,,,,7.34,,,,,CHEMBL1137338,593546,CHEMBL2095198
1779479,CHEMBL908895,CHEMBL218515,EC50,933.25,nM,=,,,,6.03,,,,,CHEMBL1137338,593566,CHEMBL2095198
1779480,CHEMBL908895,CHEMBL216284,EC50,18.2,nM,=,,,,7.74,,,,,CHEMBL1137338,593565,CHEMBL2095198
1779481,CHEMBL908895,CHEMBL217696,EC50,120.23,nM,=,,,,6.92,,,,,CHEMBL1137338,593564,CHEMBL2095198
1779482,CHEMBL908895,CHEMBL385908,EC50,102.33,nM,=,,,,6.99,,,,,CHEMBL1137338,593563,CHEMBL2095198
1779483,CHEMBL908895,CHEMBL413532,EC50,1.82,nM,=,,,,8.74,,,,,CHEMBL1137338,593562,CHEMBL2095198
1779484,CHEMBL908895,CHEMBL384537,EC50,1023.29,nM,=,,,,5.99,,,,,CHEMBL1137338,593561,CHEMBL2095198
1779485,CHEMBL908895,CHEMBL215681,EC50,1380.38,nM,=,,,,5.86,,,,,CHEMBL1137338,593560,CHEMBL2095198
1779486,CHEMBL908895,CHEMBL215681,EC50,776.25,nM,=,,,,6.11,,,,,CHEMBL1137338,593559,CHEMBL2095198
1779487,CHEMBL908895,CHEMBL215681,EC50,10000.0,nM,<,,,,,,,,,CHEMBL1137338,593558,CHEMBL2095198
1779488,CHEMBL908895,CHEMBL386582,EC50,2818.38,nM,=,,,,5.55,,,,,CHEMBL1137338,593557,CHEMBL2095198
1779489,CHEMBL908895,CHEMBL386582,EC50,26.92,nM,=,,,,7.57,,,,,CHEMBL1137338,593556,CHEMBL2095198
1779490,CHEMBL908895,CHEMBL386582,EC50,23.99,nM,=,,,,7.62,,,,,CHEMBL1137338,593555,CHEMBL2095198
1779491,CHEMBL908895,CHEMBL386126,EC50,295.12,nM,=,,,,6.53,,,,,CHEMBL1137338,593554,CHEMBL2095198
1779492,CHEMBL908895,CHEMBL386126,EC50,72.44,nM,=,,,,7.14,,,,,CHEMBL1137338,593553,CHEMBL2095198
1779493,CHEMBL908895,CHEMBL386126,EC50,457.09,nM,=,,,,6.34,,,,,CHEMBL1137338,593552,CHEMBL2095198
1779494,CHEMBL908895,CHEMBL425087,EC50,512.86,nM,=,,,,6.29,,,,,CHEMBL1137338,593551,CHEMBL2095198
1779495,CHEMBL908895,CHEMBL425087,EC50,173.78,nM,=,,,,6.76,,,,,CHEMBL1137338,593550,CHEMBL2095198
1779496,CHEMBL908895,CHEMBL425087,EC50,501.19,nM,=,,,,6.30,,,,,CHEMBL1137338,593549,CHEMBL2095198
1779497,CHEMBL908895,CHEMBL217511,EC50,37.15,nM,=,,,,7.43,,,,,CHEMBL1137338,593548,CHEMBL2095198
1779498,CHEMBL908895,CHEMBL2112487,EC50,63.1,nM,=,,,,7.20,,,,,CHEMBL1137338,593547,CHEMBL2095198
1779518,CHEMBL908895,CHEMBL384576,EC50,27.54,nM,=,,,,7.56,,,,,CHEMBL1137338,593596,CHEMBL2095198
1779519,CHEMBL908895,CHEMBL386843,EC50,851.14,nM,=,,,,6.07,,,,,CHEMBL1137338,593595,CHEMBL2095198
1779520,CHEMBL908895,CHEMBL386843,EC50,5128.61,nM,=,,,,5.29,,,,,CHEMBL1137338,593594,CHEMBL2095198
1779521,CHEMBL908895,CHEMBL386843,EC50,2187.76,nM,=,,,,5.66,,,,,CHEMBL1137338,593593,CHEMBL2095198
1779522,CHEMBL908895,CHEMBL386323,EC50,29.51,nM,=,,,,7.53,,,,,CHEMBL1137338,593592,CHEMBL2095198
1779523,CHEMBL908895,CHEMBL384797,EC50,10000.0,nM,<,,,,,,,,,CHEMBL1137338,593591,CHEMBL2095198
1779524,CHEMBL908895,CHEMBL214616,EC50,10000.0,nM,<,,,,,,,,,CHEMBL1137338,593590,CHEMBL2095198
1779525,CHEMBL908895,CHEMBL216546,EC50,22.91,nM,=,,,,7.64,,,,,CHEMBL1137338,593589,CHEMBL2095198
1779526,CHEMBL908895,CHEMBL216546,EC50,478.63,nM,=,,,,6.32,,,,,CHEMBL1137338,593588,CHEMBL2095198
