activity_id,assay_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,standard_relation,published_value,published_units,published_relation,pchembl_value,activity_comment,data_validity_comment,confidence_score,ligand_efficiency,document_chembl_id,record_id,target_chembl_id
10372612,CHEMBL1963925,CHEMBL1790040,EC50,4138.0,nM,,,,,,active,,,,CHEMBL1201862,1389226,CHEMBL2007630
10372613,CHEMBL1963925,CHEMBL1571123,EC50,34690.0,nM,,,,,,active,,,,CHEMBL1201862,1229739,CHEMBL2007630
10372614,CHEMBL1963925,CHEMBL1504077,EC50,62790.0,nM,,,,,,active,,,,CHEMBL1201862,1229734,CHEMBL2007630
10372615,CHEMBL1963925,CHEMBL1301371,EC50,21510.0,nM,,,,,,active,,,,CHEMBL1201862,1229744,CHEMBL2007630
10372616,CHEMBL1963925,CHEMBL1510339,EC50,44230.0,nM,,,,,,active,,,,CHEMBL1201862,1236620,CHEMBL2007630
10372617,CHEMBL1963925,CHEMBL1375884,EC50,80360.0,nM,,,,,,active,,,,CHEMBL1201862,1229885,CHEMBL2007630
10372618,CHEMBL1963925,CHEMBL1332689,EC50,210.0,nM,,,,,,active,,,,CHEMBL1201862,1149504,CHEMBL2007630
10372619,CHEMBL1963925,CHEMBL1363679,EC50,74540.0,nM,,,,,,active,,,,CHEMBL1201862,1229824,CHEMBL2007630
12024398,CHEMBL2114925,CHEMBL1322995,EC50,29520.0,nM,,,,,,active,,,,CHEMBL1201862,1236616,CHEMBL2007630
12024399,CHEMBL2114925,CHEMBL1477528,EC50,30470.0,nM,,,,,,active,,,,CHEMBL1201862,1238413,CHEMBL2007630
12024400,CHEMBL2114925,CHEMBL1307050,EC50,23870.0,nM,,,,,,active,,,,CHEMBL1201862,1229740,CHEMBL2007630
12024401,CHEMBL2114925,CHEMBL1548439,EC50,38130.0,nM,,,,,,active,,,,CHEMBL1201862,1229883,CHEMBL2007630
12024402,CHEMBL2114925,CHEMBL1380929,EC50,10040.0,nM,,,,,,active,,,,CHEMBL1201862,1229805,CHEMBL2007630
12024403,CHEMBL2114925,CHEMBL1344491,EC50,60590.0,nM,,,,,,active,,,,CHEMBL1201862,1229747,CHEMBL2007630
12024404,CHEMBL2114925,CHEMBL1518077,EC50,17800.0,nM,,,,,,active,,,,CHEMBL1201862,1236619,CHEMBL2007630
12024405,CHEMBL2114925,CHEMBL1341870,EC50,36850.0,nM,,,,,,active,,,,CHEMBL1201862,1229823,CHEMBL2007630
12024406,CHEMBL2114925,CHEMBL1604350,EC50,21280.0,nM,,,,,,active,,,,CHEMBL1201862,1229735,CHEMBL2007630
12024407,CHEMBL2114925,CHEMBL1428095,EC50,8720.0,nM,,,,,,active,,,,CHEMBL1201862,1238418,CHEMBL2007630
12024408,CHEMBL2114925,CHEMBL1413931,EC50,11510.0,nM,,,,,,active,,,,CHEMBL1201862,1229818,CHEMBL2007630
12024409,CHEMBL2114925,CHEMBL1539522,EC50,20500.0,nM,,,,,,active,,,,CHEMBL1201862,1229736,CHEMBL2007630
