activity_id,assay_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,standard_relation,published_value,published_units,published_relation,pchembl_value,activity_comment,data_validity_comment,confidence_score,ligand_efficiency,document_chembl_id,record_id,target_chembl_id
106630,CHEMBL656826,CHEMBL152046,IC50,100000.0,nM,>,,,,,,,,,CHEMBL1135064,301065,CHEMBL3004
108917,CHEMBL656826,CHEMBL157162,IC50,37000.0,nM,=,,,,4.43,,,,,CHEMBL1135064,301068,CHEMBL3004
110192,CHEMBL656826,CHEMBL156947,IC50,500.0,nM,=,,,,6.30,,,,,CHEMBL1135064,301070,CHEMBL3004
113091,CHEMBL656826,CHEMBL421980,IC50,1050.0,nM,=,,,,5.98,,,,,CHEMBL1135064,301067,CHEMBL3004
119346,CHEMBL656826,CHEMBL356477,IC50,7200.0,nM,=,,,,5.14,,,,,CHEMBL1135064,301089,CHEMBL3004
120651,CHEMBL656826,CHEMBL433715,IC50,4500.0,nM,=,,,,5.35,,,,,CHEMBL1135064,301063,CHEMBL3004
120653,CHEMBL656826,CHEMBL346486,IC50,1560.0,nM,=,,,,5.81,,,,,CHEMBL1135064,301072,CHEMBL3004
121767,CHEMBL656826,CHEMBL348567,IC50,10000.0,nM,=,,,,5.00,,,,,CHEMBL1135064,301092,CHEMBL3004
121769,CHEMBL656826,CHEMBL356478,IC50,400.0,nM,=,,,,6.40,,,,,CHEMBL1135064,301082,CHEMBL3004
122999,CHEMBL656826,CHEMBL154004,IC50,3330.0,nM,=,,,,5.48,,,,,CHEMBL1135064,301091,CHEMBL3004
124251,CHEMBL656826,CHEMBL345316,IC50,10000.0,nM,>,,,,,,,,,CHEMBL1135064,301079,CHEMBL3004
124253,CHEMBL656826,CHEMBL435437,IC50,900.0,nM,=,,,,6.05,,,,,CHEMBL1135064,301074,CHEMBL3004
124255,CHEMBL656826,CHEMBL264490,IC50,2020.0,nM,=,,,,5.70,,,,,CHEMBL1135064,301084,CHEMBL3004
125589,CHEMBL656826,CHEMBL154003,IC50,1000.0,nM,=,,,,6.00,,,,,CHEMBL1135064,301075,CHEMBL3004
125591,CHEMBL656826,CHEMBL154596,IC50,6350.0,nM,=,,,,5.20,,,,,CHEMBL1135064,301086,CHEMBL3004
127116,CHEMBL656826,CHEMBL153452,IC50,100000.0,nM,>,,,,,,,,,CHEMBL1135064,301066,CHEMBL3004
127118,CHEMBL656826,CHEMBL157318,IC50,1500.0,nM,=,,,,5.82,,,,,CHEMBL1135064,301077,CHEMBL3004
127120,CHEMBL656826,CHEMBL152651,IC50,15100.0,nM,=,,,,4.82,,,,,CHEMBL1135064,301085,CHEMBL3004
128203,CHEMBL656826,CHEMBL423413,IC50,1330.0,nM,=,,,,5.88,,,,,CHEMBL1135064,301071,CHEMBL3004
129482,CHEMBL656826,CHEMBL152590,IC50,1000.0,nM,=,,,,6.00,,,,,CHEMBL1135064,301078,CHEMBL3004
130869,CHEMBL656826,CHEMBL152157,IC50,2910.0,nM,=,,,,5.54,,,,,CHEMBL1135064,301087,CHEMBL3004
130871,CHEMBL656826,CHEMBL350775,IC50,5180.0,nM,=,,,,5.29,,,,,CHEMBL1135064,301080,CHEMBL3004
133302,CHEMBL656826,CHEMBL357064,IC50,2800.0,nM,=,,,,5.55,,,,,CHEMBL1135064,301088,CHEMBL3004
134511,CHEMBL656826,CHEMBL154430,IC50,18570.0,nM,=,,,,4.73,,,,,CHEMBL1135064,301083,CHEMBL3004
136894,CHEMBL656826,CHEMBL347213,IC50,95000.0,nM,=,,,,4.02,,,,,CHEMBL1135064,301076,CHEMBL3004
140454,CHEMBL656826,CHEMBL357996,IC50,39000.0,nM,=,,,,4.41,,,,,CHEMBL1135064,301090,CHEMBL3004
142932,CHEMBL656826,CHEMBL152447,IC50,7600.0,nM,=,,,,5.12,,,,,CHEMBL1135064,301081,CHEMBL3004
144178,CHEMBL656826,CHEMBL347672,IC50,3200.0,nM,=,,,,5.50,,,,,CHEMBL1135064,301064,CHEMBL3004
144180,CHEMBL656826,CHEMBL154490,IC50,36000.0,nM,=,,,,4.44,,,,,CHEMBL1135064,301069,CHEMBL3004
144182,CHEMBL656826,CHEMBL156894,IC50,3840.0,nM,=,,,,5.42,,,,,CHEMBL1135064,301073,CHEMBL3004
346511,CHEMBL714115,CHEMBL27257,IC50,113.0,nM,=,,,,6.95,,,,"{'bei': '15.39', 'le': '0.29', 'lle': '3.41', 'sei': '9.34'}",CHEMBL1149093,39940,CHEMBL3004
346513,CHEMBL714751,CHEMBL27257,IC50,59.0,nM,=,,,,7.23,,,,"{'bei': '16.01', 'le': '0.30', 'lle': '3.69', 'sei': '9.72'}",CHEMBL1149093,39940,CHEMBL3004
346516,CHEMBL714115,CHEMBL26686,IC50,1200.0,nM,=,,,,5.92,,,,"{'bei': '13.37', 'le': '0.26', 'lle': '2.11', 'sei': '11.82'}",CHEMBL1149093,39914,CHEMBL3004
346518,CHEMBL714751,CHEMBL26686,IC50,87.0,nM,=,,,,7.06,,,,"{'bei': '15.94', 'le': '0.31', 'lle': '3.25', 'sei': '14.10'}",CHEMBL1149093,39914,CHEMBL3004
