activity_id,assay_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,standard_relation,published_value,published_units,published_relation,pchembl_value,activity_comment,data_validity_comment,confidence_score,ligand_efficiency,document_chembl_id,record_id,target_chembl_id
2164552,CHEMBL928176,CHEMBL262629,Vmax,102.0,microM/s,=,,,,,,,,,CHEMBL1144813,708551,CHEMBL4051
2164554,CHEMBL928176,CHEMBL260775,Vmax,122.0,microM/s,=,,,,,,,,,CHEMBL1144813,708559,CHEMBL4051
2164556,CHEMBL928176,CHEMBL260774,Vmax,114.0,microM/s,=,,,,,,,,,CHEMBL1144813,708558,CHEMBL4051
2164558,CHEMBL928176,CHEMBL411307,Vmax,113.0,microM/s,=,,,,,,,,,CHEMBL1144813,708557,CHEMBL4051
2164560,CHEMBL928176,CHEMBL258536,Vmax,119.0,microM/s,=,,,,,,,,,CHEMBL1144813,708556,CHEMBL4051
2164562,CHEMBL928176,CHEMBL258750,Vmax,126.0,microM/s,=,,,,,,,,,CHEMBL1144813,708555,CHEMBL4051
2164564,CHEMBL928176,CHEMBL258749,Vmax,97.0,microM/s,=,,,,,,,,,CHEMBL1144813,708554,CHEMBL4051
2164566,CHEMBL928176,CHEMBL262627,Vmax,127.0,microM/s,=,,,,,,,,,CHEMBL1144813,708553,CHEMBL4051
2164568,CHEMBL928176,CHEMBL262886,Vmax,112.0,microM/s,=,,,,,,,,,CHEMBL1144813,708552,CHEMBL4051
3280870,CHEMBL1110141,CHEMBL1099214,Vmax,2.6,microM/s,=,,,,,,,,,CHEMBL1158533,909927,CHEMBL4051
3280872,CHEMBL1110141,CHEMBL1098166,Vmax,2.5,microM/s,=,,,,,,,,,CHEMBL1158533,909928,CHEMBL4051
3280874,CHEMBL1110141,CHEMBL1098779,Vmax,0.5,microM/s,=,,,,,,,,,CHEMBL1158533,910004,CHEMBL4051
3280876,CHEMBL1110141,CHEMBL1097860,Vmax,1.4,microM/s,=,,,,,,,,,CHEMBL1158533,910005,CHEMBL4051
