activity_id,assay_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,standard_relation,published_value,published_units,published_relation,pchembl_value,activity_comment,data_validity_comment,confidence_score,ligand_efficiency,document_chembl_id,record_id,target_chembl_id
13205618,CHEMBL2363735,CHEMBL53463,IC50,83.45,nM,=,,,,7.08,,,,,CHEMBL1201861,1878450,CHEMBL1075391
13205619,CHEMBL2363735,CHEMBL44657,IC50,404.53,nM,=,,,,6.39,,,,,CHEMBL1201861,1878456,CHEMBL1075391
13205620,CHEMBL2363735,CHEMBL888,IC50,22.65,nM,=,,,,7.64,,,,,CHEMBL1201861,1878462,CHEMBL1075391
13205621,CHEMBL2363735,CHEMBL105,IC50,61.2,nM,=,,,,7.21,,,,,CHEMBL1201861,1878344,CHEMBL1075391
13205622,CHEMBL2363735,CHEMBL553025,IC50,3.024,nM,=,,,,8.52,,,,,CHEMBL1201861,1878386,CHEMBL1075391
13205623,CHEMBL2363735,CHEMBL512504,IC50,57832.56,nM,=,,,,4.24,,,,,CHEMBL1201861,1878396,CHEMBL1075391
13205624,CHEMBL2363735,CHEMBL472004,IC50,1682161.75,nM,=,,,,,,Outside typical range,,,CHEMBL1201861,1878348,CHEMBL1075391
13205625,CHEMBL2363735,CHEMBL409,IC50,41044.92,nM,=,,,,4.39,,,,,CHEMBL1201861,1878423,CHEMBL1075391
13205626,CHEMBL2363735,CHEMBL259181,IC50,14818.67,nM,=,,,,4.83,,,,,CHEMBL1201861,1878368,CHEMBL1075391
13205627,CHEMBL2363735,CHEMBL608533,IC50,134.15,nM,=,,,,6.87,,,,,CHEMBL1201861,1878343,CHEMBL1075391
13205628,CHEMBL2363735,CHEMBL412142,IC50,291068.61,nM,=,,,,,,Outside typical range,,,CHEMBL1201861,1878441,CHEMBL1075391
13205629,CHEMBL2363735,CHEMBL1171837,IC50,15803.29,nM,=,,,,4.80,,,,,CHEMBL1201861,1878407,CHEMBL1075391
13205630,CHEMBL2363735,CHEMBL2165191,IC50,14750.44,nM,=,,,,4.83,,,,,CHEMBL1201861,1878416,CHEMBL1075391
13205631,CHEMBL2363735,CHEMBL585951,IC50,888.71,nM,=,,,,6.05,,,,,CHEMBL1201861,1878471,CHEMBL1075391
13205632,CHEMBL2363735,CHEMBL1084546,IC50,2251.96,nM,=,,,,5.65,,,,,CHEMBL1201861,1878364,CHEMBL1075391
13205633,CHEMBL2363735,CHEMBL92309,IC50,447383.42,nM,=,,,,,,Outside typical range,,,CHEMBL1201861,1878448,CHEMBL1075391
13205634,CHEMBL2363735,CHEMBL135561,IC50,25590.52,nM,=,,,,4.59,,,,,CHEMBL1201861,1878458,CHEMBL1075391
13205635,CHEMBL2363735,CHEMBL9470,IC50,707.48,nM,=,,,,6.15,,,,,CHEMBL1201861,1878376,CHEMBL1075391
13205636,CHEMBL2363735,CHEMBL258844,IC50,10285.48,nM,=,,,,4.99,,,,,CHEMBL1201861,1878405,CHEMBL1075391
13205637,CHEMBL2363735,CHEMBL221137,IC50,164690.01,nM,=,,,,,,Outside typical range,,,CHEMBL1201861,1878453,CHEMBL1075391
13205638,CHEMBL2363735,CHEMBL2363137,IC50,3407.46,nM,=,,,,5.47,,,,,CHEMBL1201861,1878457,CHEMBL1075391
13205639,CHEMBL2363735,CHEMBL591429,IC50,119056.48,nM,=,,,,,,Outside typical range,,,CHEMBL1201861,1878355,CHEMBL1075391
13205640,CHEMBL2363735,CHEMBL472940,IC50,416754.78,nM,=,,,,,,Outside typical range,,,CHEMBL1201861,1878469,CHEMBL1075391
13205641,CHEMBL2363735,CHEMBL558642,IC50,6583.02,nM,=,,,,5.18,,,,,CHEMBL1201861,1878465,CHEMBL1075391
13205642,CHEMBL2363735,CHEMBL1190711,IC50,10208.09,nM,=,,,,4.99,,,,,CHEMBL1201861,1878419,CHEMBL1075391
13205643,CHEMBL2363735,CHEMBL96926,IC50,3.192,nM,=,,,,8.50,,,,,CHEMBL1201861,1878382,CHEMBL1075391
13205644,CHEMBL2363735,CHEMBL2107358,IC50,504.96,nM,=,,,,6.30,,,,,CHEMBL1201861,1878353,CHEMBL1075391
13205645,CHEMBL2363735,CHEMBL575448,IC50,116.95,nM,=,,,,6.93,,,,,CHEMBL1201861,1878430,CHEMBL1075391
13205646,CHEMBL2363735,CHEMBL1091644,IC50,903.52,nM,=,,,,6.04,,,,,CHEMBL1201861,1878354,CHEMBL1075391
13205647,CHEMBL2363735,CHEMBL1023,IC50,76829.83,nM,=,,,,4.11,,,,,CHEMBL1201861,1878420,CHEMBL1075391
13205648,CHEMBL2363735,CHEMBL403664,IC50,19667.88,nM,=,,,,4.71,,,,,CHEMBL1201861,1878426,CHEMBL1075391
13205649,CHEMBL2363735,CHEMBL228043,IC50,627928.94,nM,=,,,,,,Outside typical range,,,CHEMBL1201861,1878339,CHEMBL1075391
13205650,CHEMBL2363735,CHEMBL252164,IC50,87.59,nM,=,,,,7.06,,,,,CHEMBL1201861,1878410,CHEMBL1075391
13205651,CHEMBL2363735,CHEMBL449158,IC50,138.29,nM,=,,,,6.86,,,,,CHEMBL1201861,1878433,CHEMBL1075391
13205652,CHEMBL2363735,CHEMBL477772,IC50,167776.38,nM,=,,,,,,Outside typical range,,,CHEMBL1201861,1878358,CHEMBL1075391
13205653,CHEMBL2363735,CHEMBL94657,IC50,1.675,nM,=,,,,8.78,,,,,CHEMBL1201861,1878454,CHEMBL1075391
13205654,CHEMBL2363735,CHEMBL289228,IC50,3212.08,nM,=,,,,5.49,,,,,CHEMBL1201861,1878383,CHEMBL1075391
13205655,CHEMBL2363735,CHEMBL191384,IC50,9725.33,nM,=,,,,5.01,,,,,CHEMBL1201861,1878408,CHEMBL1075391
13205656,CHEMBL2363735,CHEMBL1431,IC50,30969681.85,nM,=,,,,,,Outside typical range,,,CHEMBL1201861,1878340,CHEMBL1075391
13205657,CHEMBL2363735,CHEMBL483849,IC50,32281771.5,nM,=,,,,,,Outside typical range,,,CHEMBL1201861,1878404,CHEMBL1075391
13205658,CHEMBL2363735,CHEMBL65,IC50,3.468,nM,=,,,,8.46,,,,,CHEMBL1201861,1878435,CHEMBL1075391
13205659,CHEMBL2363735,CHEMBL159,IC50,15.49,nM,=,,,,7.81,,,,,CHEMBL1201861,1878385,CHEMBL1075391
13205660,CHEMBL2363735,CHEMBL11359,IC50,3608.03,nM,=,,,,5.44,,,,,CHEMBL1201861,1878443,CHEMBL1075391
13205661,CHEMBL2363735,CHEMBL803,IC50,1520.53,nM,=,,,,5.82,,,,,CHEMBL1201861,1878446,CHEMBL1075391
13205662,CHEMBL2363735,CHEMBL3545252,IC50,11.46,nM,=,,,,7.94,,,,,CHEMBL1201861,1878449,CHEMBL1075391
13205663,CHEMBL2363735,CHEMBL34259,IC50,21149.62,nM,=,,,,4.67,,,,,CHEMBL1201861,1878341,CHEMBL1075391
13205664,CHEMBL2363735,CHEMBL38,IC50,685176.18,nM,=,,,,,,Outside typical range,,,CHEMBL1201861,1878409,CHEMBL1075391
13205665,CHEMBL2363735,CHEMBL939,IC50,12340.99,nM,=,,,,4.91,,,,,CHEMBL1201861,1878461,CHEMBL1075391
13205666,CHEMBL2363735,CHEMBL443684,IC50,17814.06,nM,=,,,,4.75,,,,,CHEMBL1201861,1878401,CHEMBL1075391
13205667,CHEMBL2363735,CHEMBL98,IC50,2604.6,nM,=,,,,5.58,,,,,CHEMBL1201861,1878387,CHEMBL1075391
