activity_id,assay_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,standard_relation,published_value,published_units,published_relation,pchembl_value,activity_comment,data_validity_comment,confidence_score,ligand_efficiency,document_chembl_id,record_id,target_chembl_id,smiles
10996933,CHEMBL2075588,CHEMBL2074784,Km,13000.0,nM,=,,,,,substrate [Km=13uM],,,,CHEMBL2073927,1670053,CHEMBL5393,Cc1cc(=O)oc2cc(OS(=O)(=O)O)ccc12
11000134,CHEMBL2076809,CHEMBL494753,Km,17000.0,nM,=,,,,,substrate [Km=17uM],,,,CHEMBL2073927,1670094,CHEMBL5393,C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CCC2=O
11000240,CHEMBL2077872,CHEMBL1743143,Km,26000.0,nM,=,,,,,substrate [Km=26uM],,,,CHEMBL2073859,1670393,CHEMBL5393,CCc1c2c(nc3ccc(OC[C@@H]4O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]4O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC
11000248,CHEMBL2076809,CHEMBL2074805,Km,27000.0,nM,=,,,,,substrate [Km=27uM],,,,CHEMBL2073927,1670400,CHEMBL5393,CNc1nc2c(Cc3cccnc3)c(C)c(OS(=O)(=O)O)c(C)c2s1
11000407,CHEMBL2075589,CHEMBL34259,Km,5700000.0,nM,=,,,,,substrate [Km =5.7mM],,,,CHEMBL2073902,1671137,CHEMBL5393,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
11000413,CHEMBL2077075,CHEMBL34259,Km,1300000.0,nM,=,,,,,substrate [Km=1.3mM],,,,CHEMBL2074091,1671143,CHEMBL5393,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
11000629,CHEMBL2077872,CHEMBL837,Km,4000.0,nM,=,,,,,substrate [Km=4uM],,,,CHEMBL2073859,1670672,CHEMBL5393,CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC
11000704,CHEMBL2075584,CHEMBL494753,Km,6800.0,nM,=,,,,,substrate [Km=6.8uM],,,,CHEMBL2074466,1670723,CHEMBL5393,C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CCC2=O
11000725,CHEMBL2077856,CHEMBL34259,Km,680000.0,nM,=,,,,,substrate [Km=680uM],,,,CHEMBL2073962,1670946,CHEMBL5393,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
15469246,CHEMBL3535876,CHEMBL2096747,Km,5320.0,nM,=,,,,,,,,,CHEMBL3525931,2469104,CHEMBL5393,COc1ccnc(C[S@@+]([O-])c2nc3ccc(OC(F)F)cc3[nH]2)c1OC
